county,district,date,open_stores7eleven,open_storesfamilymart,open_storeshilife,open_storesOK,open_storespxmart,open_storescarrefour,open_storesrtmart,open_storessimplemart,open_storescpc
臺南市,學甲區,2018-03-01,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
臺南市,學甲區,2018-04-01,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
臺南市,學甲區,2018-05-01,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
臺南市,學甲區,2018-06-01,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
臺南市,學甲區,2018-07-01,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
臺南市,學甲區,2018-08-01,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
臺南市,學甲區,2018-09-01,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
臺南市,學甲區,2018-10-01,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
臺南市,學甲區,2018-11-01,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
臺南市,學甲區,2018-12-01,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
臺南市,安南區,2018-01-01,44.0,12.0,2.0,0.0,8.0,0.0,0.0,1.0,15.0
臺南市,安南區,2018-02-01,44.0,12.0,2.0,0.0,8.0,0.0,0.0,1.0,15.0
臺南市,安南區,2018-03-01,44.0,12.0,2.0,0.0,8.0,0.0,0.0,1.0,15.0
臺南市,安南區,2018-04-01,44.0,12.0,2.0,0.0,8.0,0.0,0.0,1.0,15.0
臺南市,安南區,2018-05-01,44.0,12.0,2.0,0.0,8.0,0.0,0.0,1.0,15.0
臺南市,安南區,2018-06-01,44.0,12.0,2.0,0.0,8.0,0.0,0.0,1.0,15.0
臺南市,安南區,2018-07-01,44.0,12.0,2.0,0.0,8.0,0.0,0.0,1.0,15.0
臺南市,安南區,2018-08-01,44.0,12.0,2.0,0.0,8.0,0.0,0.0,1.0,15.0
臺南市,安南區,2018-09-01,44.0,12.0,2.0,0.0,8.0,0.0,0.0,1.0,15.0
臺南市,安南區,2018-10-01,44.0,12.0,2.0,0.0,8.0,0.0,0.0,1.0,15.0
臺南市,安南區,2018-11-01,45.0,12.0,2.0,0.0,8.0,0.0,0.0,1.0,15.0
臺南市,安南區,2018-12-01,45.0,12.0,2.0,0.0,8.0,0.0,0.0,1.0,15.0
臺南市,安定區,2018-01-01,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
臺南市,安定區,2018-02-01,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
臺南市,安定區,2018-03-01,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
臺南市,安定區,2018-04-01,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
臺南市,安定區,2018-05-01,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
臺南市,安定區,2018-06-01,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
臺南市,安定區,2018-07-01,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
臺南市,安定區,2018-08-01,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
臺南市,安定區,2018-09-01,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
臺南市,安定區,2018-10-01,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
臺南市,安定區,2018-11-01,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
臺南市,安定區,2018-12-01,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
臺南市,安平區,2018-01-01,22.0,9.0,2.0,0.0,2.0,0.0,0.0,1.0,5.0
臺南市,安平區,2018-02-01,22.0,9.0,2.0,0.0,2.0,0.0,0.0,1.0,5.0
臺南市,安平區,2018-03-01,22.0,9.0,2.0,0.0,2.0,0.0,0.0,1.0,5.0
臺南市,安平區,2018-04-01,22.0,9.0,2.0,0.0,2.0,0.0,0.0,1.0,5.0
臺南市,安平區,2018-05-01,22.0,9.0,2.0,0.0,2.0,0.0,0.0,1.0,5.0
臺南市,安平區,2018-06-01,22.0,9.0,2.0,0.0,2.0,0.0,0.0,1.0,5.0
臺南市,安平區,2018-07-01,22.0,9.0,2.0,0.0,2.0,0.0,0.0,1.0,5.0
